,Title,imdbID,year,Poster,Genre
0,Star Wars: Episode V - The Empire Strikes Back,tt0080684,1980,http://ia.media-imdb.com/images/M/MV5BMjE2MzQwMTgxN15BMl5BanBnXkFtZTcwMDQzNjk2OQ@@._V1_SX300.jpg,"Action, Adventure, Fantasy"
1,Stir Crazy,tt0081562,1980,http://ia.media-imdb.com/images/M/MV5BMTM4OTI3MTYxNl5BMl5BanBnXkFtZTcwMTA1NDkyMQ@@._V1_SX300.jpg,"Comedy, Crime"
2,Airplane!,tt0080339,1980,http://ia.media-imdb.com/images/M/MV5BNDU2MjE4MTcwNl5BMl5BanBnXkFtZTgwNDExOTMxMDE@._V1_SX300.jpg,Comedy
3,Any Which Way You Can,tt0080377,1980,http://ia.media-imdb.com/images/M/MV5BMTc5MTc5NTc3Nl5BMl5BanBnXkFtZTcwMDM3MDUyMQ@@._V1_SX300.jpg,"Action, Comedy"
4,Private Benjamin,tt0081375,1980,http://ia.media-imdb.com/images/M/MV5BMjIyNjkxMjUyMF5BMl5BanBnXkFtZTgwMzU0MjEyMDE@._V1_SX300.jpg,"Comedy, War"
5,Coal Miner's Daughter,tt0080549,1980,http://ia.media-imdb.com/images/M/MV5BMTkwMjUxNTczNV5BMl5BanBnXkFtZTgwNjg2MDM0MDE@._V1_SX300.jpg,"Biography, Drama, Music"
6,Smokey and the Bandit II,tt0081529,1980,http://ia.media-imdb.com/images/M/MV5BMTc3MjUwOTUyMl5BMl5BanBnXkFtZTcwNDk4NTcxMQ@@._V1_SX300.jpg,"Action, Comedy"
7,The Blue Lagoon,tt0080453,1980,http://ia.media-imdb.com/images/M/MV5BMTQwNTM5MDU2OF5BMl5BanBnXkFtZTgwNjI0OTgzMTE@._V1_SX300.jpg,"Adventure, Drama, Romance"
8,The Blues Brothers,tt0080455,1980,http://ia.media-imdb.com/images/M/MV5BMTM1Mjk3OTQ0M15BMl5BanBnXkFtZTYwMDA4MTY5._V1_SX300.jpg,"Action, Comedy, Crime"
9,Ordinary People,tt0081283,1980,http://ia.media-imdb.com/images/M/MV5BNTQwNTc4NzYxNl5BMl5BanBnXkFtZTgwMDEzMjEyMDE@._V1_SX300.jpg,Drama
